SKU,PRODUCTO,CATEGORIA,DESCRIPCIÓN DE PRODUCTO,META TITLE,META DESCRIPTION
1885,CANASTA INDIVIDUAL SUSCRIPCIÓN,Canastas de frutas y verduras agroecológicas,"Esta canasta de 3.5 kg que incluye una selección de verduras cultivadas por la Red  Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar una variedad de fruta proveniente de Puebla.¡Haz tu pedido ahora o suscríbete para recibir tu canasta regularmente!",Canasta Fruta y Verdura Agroecológicas 3.5 kg | Arca Tierra,La canasta individual tiene 3.5 kilos de vegetales y algunas frutas de temporada producidos por la Red arca tierra. Suscríbete hoy
1885u,CANASTA INDIVIDUAL COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
1886,CANASTA MEDIA SUSCRIPCION,Canastas de frutas y verduras agroecológicas,"Esta canasta de 5 kg incluye una selección de verduras cultivadas por la Red  Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar una variedad de fruta proveniente de Puebla.
Esta canasta es ideal para 2 a 3 personas.",Canasta Fruta y Verdura Agroecológicas 5 kg | Arca Tierra,Canasta tamaño Media (5 kg) con selección de vegetales y frutas de temporada producidos por la Red arca tierra. Suscríbete hoy.
1886u,CANASTA MEDIA COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
1887,CANASTA COMPLETA SUSCRIPCION,Canastas de frutas y verduras agroecológicas,"Esta canasta con 7.5 kg incluye una selección de  hojas verdes, raíces, hortalizas y verduras cultivadas por la Red Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar una o dos variedades de fruta proveniente de Puebla.
Ideal para 2 a 3 personas.¡Haz tu pedido ahora o suscríbete para recibir tu canasta regularmente!",,
1887u,CANASTA COMPLETA COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
1888,CANASTA FAMILIAR SUSCRIPCION,Canastas de frutas y verduras agroecológicas,"En esta canasta de 10 kg hay una selección de verduras cultivadas por la Red  Arca Tierra. La selección varía con la temporada, pero siempre encontrarás mezcla de ensalada cultivada en Xochimilco, jitomate y calabaza de Estado de México o Hidalgo, entre otros. También podrás encontrar variedad de fruta proveniente de Puebla.
Este tamaño es ideal para 4 a 6 personas. 
¡Haz tu pedido ahora o suscríbete para recibir tu canasta regularmente!",,
1888u,CANASTA FAMILIAR COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
1889,CANASTA BÁSICA INDIVIDUAL SUSCRIPCION,Canastas de frutas y verduras agroecológicas,"Perfecta para una o dos personas,  ideal para quienes buscan cocinar más en casa con alimentos frescos y saludables.
Esta es una selección de 3.5 kg de frutas y verduras frescas de temporada combinada con alimentos esenciales que te conectan con el campo mexicano.",,
1889u,CANASTA BÁSICA INDIVIDUAL COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
1890,CANASTA BASICA MEDIA SUSCRIPCION,Canastas de frutas y verduras agroecológicas,"Suscríbete a esta canasta y recibirás:

5 k de verdura y fruta de temporada
500 g de queso Oaxaca de la cuenca lechera de Xochimilco
24 tortillas de maíz nativo
18 huevos frescos de gallinas de libre pastoreo en las chinampas
500 g milanesas de pollo de origen regenerativo
500 g bistec de res de origen regenerativo
Es el combo perfecto para una alimentación rica y variada, directamente del campo a tu mesa.",,
1890u,CANASTA BASICA MEDIA COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
1891,CANASTA BASICA FAMILIAR SUSCRIPCION,Canastas de frutas y verduras agroecológicas,"La Canasta Básica Familiar es nuestro combo más completo, con aproximadamente 13 kg de una selección de verduras frescas y frutas de temporada, así como productos básicos de despensa para asegurar que todos en casa disfruten de alimentos nutritivos y de origen local.",,
1891u,CANASTA BASICA FAMILIAR COMPRA UNICA,Canastas de frutas y verduras agroecológicas,,,
P-WEB-ACE-005,ACEITE DE AJONJOLI REFINADO,Aceites naturales,"Descubre la versatilidad del aceite de ajonjolí 100% puro, un aceite vegetal comestible de sabor, color y olor neutral, ideal para cocinar. Gracias a su alto punto de humo, es perfecto para freír, asegurando que tus platillos queden crujientes y deliciosos. Este aceite también es una excelente base para emulsiones, como dips, aderezos y mayonesas, y se utiliza en aplicaciones farmacéuticas, nutracéuticas y cosméticas. ¡Incorpora el aceite de ajonjolí puro en tus recetas y disfruta de su calidad y versatilidad hoy mismo!",Aceite refinado de ajonjolí de origen orgánico | Arca Tierra,"Prueba este delicioso aceite de ajonjolí 100% puro y producido de forma orgánica en Guanajuato. Es ideal para freír y elaborar dips, aderezos y mayonesas. "
P-WEB-ACE-004,ACEITE DE AJONJOLI TOSTADO,Aceites naturales,100% Aceite virgen de ajonjolí tostado: color café oscuro con un fuerte aroma y sabor a semilla de ajonjolí tostada. Ideal para cocinar a fuego medio-bajo (saltear) y como condimento en platillos terminados (aderezar).,Aceite artesanal orgánico de ajonjolí tostado | Arca Tierra,"Prueba este delicioso aceite 100% de puro ajonjolí tostado producido de forma orgánica en Guanajuato. Ideal para freír y elaborar dips, aderezos y mayonesas. "
MAZ-TOR-BLA-12P,ACEITE DE AGUACATE,Aceites naturales,"Descubre el exquisito aceite de aguacate extra virgen, prensado en frío, con un aroma suave y delicado. De color verde y elaborado con aguacates maduros de huertos mexicanos.",Aceite de Aguacate (500 ml) I Arca Tierra,"Prueba este delicioso aceite de aguacate extra virgen con aroma fino y delicado. Prensado en frio, color verde, hecho con fruta madura de huertos mexicanos."
P-WEB-ACE-002,ACEITE DE COCO 450 ML,Aceites naturales," Aceite de coco extra virgen, 100% natural, comestible, prensado en frío, no hidrogenado, sin olor ni sabor. Este producto se hace líquido a más de 25º C.

Ideal para repostería y alternativa de uso de otros aceite vegetales para cocinar.

",Aceite de Coco Natural y Extra Virgen 425 g I Arca Tierra,"Aceite de coco extra virgen, 100% natural y sin olor. Prensado en frío, no hidrogenado. Ideal para cocinar, hornear o sustituir otros aceites."
P-WEB-ACE-003,ACEITE DE OLIVA 750 ML,Aceites naturales,"Prueba este delicioso aceite de oliva extra virgen. Está elaborado de forma agroecológica, y proviene de la cosecha fresca y más reciente de los productores.",Aceite de oliva extra virgen y agroecológico  | Arca Tierra,"El aceite de oliva extra virgen de primera extracción en frio via procesos mecánicos sin intervención de calor o químicos. 
Este es un aceite fresco – de la cosecha mas reciente – provenientes directamente de los productores. "
P-WEB-SEC-001,AJONJOLI 100 G,Granos y cereales integrales,"Este ajonjolí es cultivado por más de 600 productores de Comunidades Campesinas en Camino. Desde 1995, impulsan un modelo justo que respeta la tierra y los derechos campesinos. Úsalo para pan casero, granola, aderezos, hummus o salsas.",Ajonjolí Agroecológico 100 g I Arca Tierra,"Este ajonjolí se cultiva de forma agroecológica por comunidades campesinas en el Istmo de Tehuantepec, Oaxaca."
P-WEB-SEC-002,AMARANTO 250 G,Granos y cereales integrales,"Descubre el poder nutritivo de las semillas de amaranto, cultivadas de forma agroecológica en el pueblo de Tuyehualco, una de las joyas del oriente de la Ciudad de México, en la alcaldía Xochimilco. Estas semillas están disponibles para compra a granel y son perfectas para incorporar en tu dieta diaria.",Semillas de amaranto de origen agroecológico | Arca Tierra,"Descubre las nutritivas semillas de amaranto agroecológicas de Tuyehualco, las tenemos disponibles a granel. Una importante fuente de fibra para tu cuerpo."
P-WEB-SEC-074,AMARANTO REVENTADO,Granos y cereales integrales,"Descubre el poder nutritivo del amaranto reventado, cultivado de forma agroecológica en el pueblo de Tuyehualco, una de las joyas del oriente de la Ciudad de México, en la alcaldía Xochimilco. Estas semillas están disponibles para compra a granel y son perfectas para incorporar en tu dieta diaria.
",Amaranto reventado de origen agroecológico | Arca Tierra,"Disfruta este rico amaranto reventado de Tuyehualco, disponible a granel. Es una importante fuente de fibra que puedes disfrutar diariamente en tus alimentos."
