DIAGRAMA SECCION WEB,,,,,,,
Título principal,Tienda de alimentos,,,,,,
Subtítulo descriptivo,Alimentos agroecológicos 100 % mexicanos — compra directa o por suscripción,,,,,,
,,,,,,,
Canastas de temporada,Descripción + tabla con tamaños/precios + botón 'Comprar',Tabla visual clara,Categoría principal de compra,,,,
Productos,"Ficha breve con imagen, precio, botón 'Agregar' por categoría",Grid o lista con filtros (categorías),"Resaltar productos como arroz, granos, proteína, lácteos",,,,
Destacados de la semana,Carrusel o sección destacada de productos,Carrusel visual,Promueve novedades o promociones,,,,
¿Por qué compra en arcatierra.com?,"Párrafo explicativo + iconos (agroecología, red campesina, comercio justo)",Texto + iconos,Reforzar confianza y diferenciación,,,,
,"Con cada canasta agroecológica:

Posibilitas el comercio justo y la resignificación de las familias campesinas 
Contribuyes a la salud de tu familia y del planeta
Ayudas a reducir la huella de carbono y el impacto ambiental ",,,,,,
FAQs específicos,"Acordeón con preguntas frecuentes sobre contenido, fruta, entregas",Acordeón,Resolver dudas prácticas antes de comprar,,,,
Información de entrega / logística,Texto breve + icono de camión (entregas lunes a viernes),Texto + icono,Evita incertidumbre de tiempos y logística,,,,
Inicia tu suscripción,Botón destacado 'Suscríbete' + beneficios,CTA visual,Impulsar modelo de ingreso recurrente,,,,
Testimonios,Carrusel de reseñas breves de clientes,Carrusel de texto o video,Aumenta conversión y credibilidad,,,,
Footer de sección,"Enlaces a experiencias, contacto, Instagram, políticas",Footer con enlaces,Cierre útil para navegación,,,,
SEO CATEGORIAS TIENDA,,,,,,,
CATEGORIA,DESCRIPCION,META TITLE,META DESCRIPTION,,,,
CANASTAS AGROECOLÓGICAS,,,,,,,
ACEITES Y GRASAS,,,,,,,
"GRANOS, SEMILLAS Y CEREALES",,,,,,,
PROTEINA ANIMAL,,,,,,,
"CAFE, CACAO Y CHOCOLATE",,,,,,,
ENDULZANTES,,,,,,,
ESPECIAS Y CONDIMENTOS,,,,,,,
MERMELADAS Y UNTABLES,,,,,,,
HUEVO Y LÁCTEOS,,,,,,,
INFUSIONES Y TES,,,,,,,
MERCH ARCA TIERRA,,,,,,,
HARINAS Y PASTAS,,,,,,,
